,年月日,キックオフ時刻,スタジアム,入場者数,天候,気温,湿度,H_team,H_監督,A_team,A_監督,H_ポジション1,H_選手1,H_ポジション2,H_選手2,H_ポジション3,H_選手3,H_ポジション4,H_選手4,H_ポジション5,H_選手5,H_ポジション6,H_選手6,H_ポジション7,H_選手7,H_ポジション8,H_選手8,H_ポジション9,H_選手9,H_ポジション10,H_選手10,H_ポジション11,H_選手11,A_ポジション1,A_選手1,A_ポジション2,A_選手2,A_ポジション3,A_選手3,A_ポジション4,A_選手4,A_ポジション5,A_選手5,A_ポジション6,A_選手6,A_ポジション7,A_選手7,A_ポジション8,A_選手8,A_ポジション9,A_選手9,A_ポジション10,A_選手10,A_ポジション11,A_選手11,url
19097,20170311,15:04,ＮＡＣＫ５スタジアム大宮,"11,943  人",晴,13.7,20,大宮アルディージャ,渋谷　洋樹,ジュビロ磐田,名波　浩,GK,加藤　順大,DF,奥井　諒,DF,菊地　光将,DF,河本　裕之,DF,大屋　翼,MF,大山　啓輔,MF,茨田　陽生,MF,マテウス,MF,横谷　繁,FW,江坂　任,FW,ネイツ　ペチュニク,GK,カミンスキー,DF,櫻内　渚,DF,大井　健太郎,DF,藤田　義明,MF,宮崎　智彦,MF,川辺　駿,MF,ムサエフ,MF,太田　吉彰,MF,中村　俊輔,MF,アダイウトン,FW,川又　堅碁,https://data.j-league.or.jp/SFMS02/?match_card_id=19097
19098,20170311,15:05,ベストアメニティスタジアム,"13,004  人",晴,17.0,27,サガン鳥栖,マッシモ　フィッカデンティ,サンフレッチェ広島,森保　一,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,原川　力,MF,高橋　義希,MF,福田　晃斗,MF,鎌田　大地,FW,富山　貴光,FW,豊田　陽平,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,ミキッチ,MF,丸谷　拓也,MF,青山　敏弘,MF,清水　航平,MF,フェリペ　シウバ,MF,柴﨑　晃誠,FW,工藤　壮人,https://data.j-league.or.jp/SFMS02/?match_card_id=19098
19099,20170311,15:35,デンカビッグスワンスタジアム,"31,014  人",晴,8.1,43,アルビレックス新潟,三浦　文丈,清水エスパルス,小林　伸二,GK,守田　達弥,DF,矢野　貴章,DF,大野　和成,DF,ソン　ジュフン,DF,酒井　宣福,MF,原　輝綺,MF,小泉　慶,MF,加藤　大,MF,成岡　翔,FW,山崎　亮平,FW,ホニ,GK,六反　勇治,DF,鎌田　翔雅,DF,犬飼　智也,DF,角田　誠,DF,松原　后,MF,六平　光成,MF,野津田　岳人,MF,枝村　匠馬,MF,白崎　凌兵,MF,金子　翔太,FW,鄭　大世,https://data.j-league.or.jp/SFMS02/?match_card_id=19099
19100,20170311,16:05,ユアテックスタジアム仙台,"14,369  人",晴,7.5,37,ベガルタ仙台,渡邉　晋,ヴィッセル神戸,ネルシーニョ,GK,関　憲太郎,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,石川　直樹,MF,富田　晋伍,MF,三田　啓貴,MF,梁　勇基,MF,永戸　勝也,FW,奥埜　博亮,FW,石原　直樹,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,橋本　和,MF,藤田　直之,MF,ニウトン,MF,小川　慶治朗,MF,大森　晃太郎,FW,渡邉　千真,FW,田中　順也,https://data.j-league.or.jp/SFMS02/?match_card_id=19100
19101,20170311,19:03,市立吹田サッカースタジアム,"24,292  人",晴,7.7,54,ガンバ大阪,長谷川　健太,ＦＣ東京,篠田　善之,GK,東口　順昭,DF,三浦　弦太,DF,ファビオ,DF,金　正也,DF,藤春　廣輝,MF,初瀬　亮,MF,遠藤　保仁,MF,今野　泰幸,MF,倉田　秋,FW,アデミウソン,FW,長沢　駿,GK,林　彰洋,DF,室屋　成,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,髙萩　洋次郎,MF,橋本　拳人,MF,河野　広貴,MF,東　慶悟,MF,永井　謙佑,FW,大久保　嘉人,https://data.j-league.or.jp/SFMS02/?match_card_id=19101
19102,20170318,14:03,札幌ドーム,"12,624  人",屋内,22.7,38,北海道コンサドーレ札幌,四方田　修平,サンフレッチェ広島,森保　一,GK,ク　ソンユン,DF,キム　ミンテ,DF,横山　知伸,DF,福森　晃斗,MF,マセード,MF,宮澤　裕樹,MF,深井　一希,MF,兵藤　慎剛,MF,田中　雄大,FW,金園　英学,FW,都倉　賢,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,ミキッチ,MF,稲垣　祥,MF,青山　敏弘,MF,清水　航平,MF,フェリペ　シウバ,MF,柴﨑　晃誠,FW,工藤　壮人,https://data.j-league.or.jp/SFMS02/?match_card_id=19102
19103,20170318,14:03,日産スタジアム,"20,191  人",晴,14.7,28,横浜Ｆ・マリノス,エリク　モンバエルツ,アルビレックス新潟,三浦　文丈,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,中町　公祐,MF,天野　純,MF,マルティノス,MF,ダビド　バブンスキー,MF,齋藤　学,FW,ウーゴ　ヴィエイラ,GK,大谷　幸輝,DF,矢野　貴章,DF,大野　和成,DF,ソン　ジュフン,DF,酒井　宣福,MF,原　輝綺,MF,小泉　慶,MF,加藤　大,MF,山崎　亮平,FW,チアゴ　ガリャルド,FW,ホニ,https://data.j-league.or.jp/SFMS02/?match_card_id=19103
19104,20170318,14:04,山梨中銀スタジアム,"10,079  人",曇,17.9,20,ヴァンフォーレ甲府,吉田　達磨,大宮アルディージャ,渋谷　洋樹,GK,岡　大生,DF,新井　涼平,DF,山本　英臣,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,堀米　勇輝,MF,田中　佑昌,MF,阿部　翔平,FW,ウイルソン,GK,加藤　順大,DF,奥井　諒,DF,山越　康平,DF,河本　裕之,DF,大屋　翼,MF,大山　啓輔,MF,横谷　繁,MF,茨田　陽生,MF,江坂　任,FW,ドラガン　ムルジャ,FW,大前　元紀,https://data.j-league.or.jp/SFMS02/?match_card_id=19104
19105,20170318,14:03,ＩＡＩスタジアム日本平,"16,951  人",晴のち曇,14.4,42,清水エスパルス,小林　伸二,鹿島アントラーズ,石井　正忠,GK,六反　勇治,DF,鎌田　翔雅,DF,犬飼　智也,DF,角田　誠,DF,松原　后,MF,六平　光成,MF,野津田　岳人,MF,枝村　匠馬,MF,白崎　凌兵,MF,金子　翔太,FW,鄭　大世,GK,クォン　スンテ,DF,伊東　幸敏,DF,植田　直通,DF,昌子　源,DF,山本　脩斗,MF,永木　亮太,MF,小笠原　満男,MF,遠藤　康,MF,土居　聖真,FW,鈴木　優磨,FW,ペドロ　ジュニオール,https://data.j-league.or.jp/SFMS02/?match_card_id=19105
19106,20170318,15:03,日立柏サッカー場,"9,905  人",晴のち曇,16.2,25,柏レイソル,下平　隆宏,ベガルタ仙台,渡邉　晋,GK,中村　航輔,DF,小池　龍太,DF,中谷　進之介,DF,鎌田　次郎,DF,輪湖　直樹,MF,伊東　純也,MF,大谷　秀和,MF,小林　祐介,MF,クリスティアーノ,FW,中川　寛斗,FW,ディエゴ　オリヴェイラ,GK,関　憲太郎,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,石川　直樹,MF,三田　啓貴,MF,富田　晋伍,MF,梁　勇基,MF,永戸　勝也,FW,奥埜　博亮,FW,石原　直樹,https://data.j-league.or.jp/SFMS02/?match_card_id=19106
19107,20170318,15:03,キンチョウスタジアム,"13,086  人",曇,12.6,31,セレッソ大阪,尹　晶煥,サガン鳥栖,マッシモ　フィッカデンティ,GK,丹野　研太,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,山口　蛍,MF,山村　和也,MF,清武　弘嗣,FW,柿谷　曜一朗,FW,杉本　健勇,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,福田　晃斗,MF,高橋　義希,MF,原川　力,MF,鎌田　大地,FW,ビクトル　イバルボ,FW,豊田　陽平,https://data.j-league.or.jp/SFMS02/?match_card_id=19107
19108,20170318,16:03,ノエビアスタジアム神戸,"17,027  人",曇,13.6,46,ヴィッセル神戸,ネルシーニョ,ジュビロ磐田,名波　浩,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,橋本　和,MF,ニウトン,MF,藤田　直之,MF,松下　佳貴,MF,大森　晃太郎,FW,ウエスクレイ,FW,渡邉　千真,GK,カミンスキー,DF,小川　大貴,DF,櫻内　渚,DF,大井　健太郎,MF,宮崎　智彦,MF,川辺　駿,MF,ムサエフ,MF,太田　吉彰,MF,中村　俊輔,MF,アダイウトン,FW,川又　堅碁,https://data.j-league.or.jp/SFMS02/?match_card_id=19108
19109,20170318,19:04,味の素スタジアム,"36,311  人",曇,12.8,59,ＦＣ東京,篠田　善之,川崎フロンターレ,鬼木　達,GK,林　彰洋,DF,室屋　成,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,髙萩　洋次郎,MF,橋本　拳人,MF,永井　謙佑,MF,中島　翔哉,FW,大久保　嘉人,FW,阿部　拓馬,GK,チョン　ソンリョン,DF,田坂　祐介,DF,奈良　竜樹,DF,谷口　彰悟,DF,車屋　紳太郎,MF,大島　僚太,MF,エドゥアルド　ネット,MF,中村　憲剛,MF,登里　享平,FW,阿部　浩之,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=19109
19110,20170319,17:03,市立吹田サッカースタジアム,"34,733  人",晴,15.0,30,ガンバ大阪,長谷川　健太,浦和レッズ,ペトロヴィッチ,GK,藤ヶ谷　陽介,DF,三浦　弦太,DF,ファビオ,DF,金　正也,DF,オ　ジェソク,DF,初瀬　亮,MF,遠藤　保仁,MF,今野　泰幸,MF,倉田　秋,FW,長沢　駿,FW,アデミウソン,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,青木　拓矢,MF,阿部　勇樹,MF,宇賀神　友弥,MF,柏木　陽介,MF,興梠　慎三,FW,ラファエル　シルバ,https://data.j-league.or.jp/SFMS02/?match_card_id=19110
19111,20170401,14:03,ユアテックスタジアム仙台,"13,122  人",雨のち曇,11.5,72,ベガルタ仙台,渡邉　晋,川崎フロンターレ,鬼木　達,GK,関　憲太郎,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,石川　直樹,MF,三田　啓貴,MF,富田　晋伍,MF,梁　勇基,MF,永戸　勝也,FW,奥埜　博亮,FW,石原　直樹,GK,チョン　ソンリョン,DF,登里　享平,DF,奈良　竜樹,DF,谷口　彰悟,DF,車屋　紳太郎,MF,大島　僚太,MF,エドゥアルド　ネット,MF,ハイネル,MF,中村　憲剛,FW,長谷川　竜也,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=19111
19112,20170401,14:03,デンカビッグスワンスタジアム,"20,043  人",晴,10.7,53,アルビレックス新潟,三浦　文丈,ガンバ大阪,長谷川　健太,GK,大谷　幸輝,DF,矢野　貴章,DF,大野　和成,DF,ソン　ジュフン,DF,酒井　宣福,MF,原　輝綺,MF,小泉　慶,MF,加藤　大,MF,山崎　亮平,FW,チアゴ　ガリャルド,FW,ホニ,GK,東口　順昭,DF,三浦　弦太,DF,ファビオ,DF,金　正也,DF,初瀬　亮,DF,藤春　廣輝,MF,遠藤　保仁,MF,倉田　秋,MF,井手口　陽介,FW,長沢　駿,FW,アデミウソン,https://data.j-league.or.jp/SFMS02/?match_card_id=19112
19113,20170401,14:04,エディオンスタジアム広島,"13,639  人",晴,15.3,27,サンフレッチェ広島,森保　一,柏レイソル,下平　隆宏,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,高橋　壮也,MF,青山　敏弘,MF,野上　結貴,MF,清水　航平,MF,フェリペ　シウバ,MF,アンデルソン　ロペス,FW,工藤　壮人,GK,中村　航輔,DF,小池　龍太,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,武富　孝介,MF,大谷　秀和,MF,中川　寛斗,MF,手塚　康平,MF,大津　祐樹,FW,ディエゴ　オリヴェイラ,https://data.j-league.or.jp/SFMS02/?match_card_id=19113
19114,20170401,15:03,エコパスタジアム,"40,491  人",雨,17.2,39,ジュビロ磐田,名波　浩,清水エスパルス,小林　伸二,GK,カミンスキー,DF,櫻内　渚,DF,大井　健太郎,DF,森下　俊,MF,宮崎　智彦,MF,ムサエフ,MF,川辺　駿,MF,中村　俊輔,MF,松浦　拓弥,MF,太田　吉彰,FW,川又　堅碁,GK,六反　勇治,DF,鎌田　翔雅,DF,犬飼　智也,DF,二見　宏志,DF,松原　后,MF,六平　光成,MF,野津田　岳人,MF,枝村　匠馬,MF,白崎　凌兵,MF,金子　翔太,FW,鄭　大世,https://data.j-league.or.jp/SFMS02/?match_card_id=19114
19115,20170401,15:03,キンチョウスタジアム,"14,455  人",曇のち晴,22.7,20,セレッソ大阪,尹　晶煥,横浜Ｆ・マリノス,エリク　モンバエルツ,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,木本　恭生,DF,マテイ　ヨニッチ,MF,ソウザ,MF,関口　訓充,MF,山口　蛍,MF,山村　和也,FW,柿谷　曜一朗,FW,杉本　健勇,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,中町　公祐,MF,天野　純,MF,マルティノス,MF,前田　直輝,MF,齋藤　学,FW,伊藤　翔,https://data.j-league.or.jp/SFMS02/?match_card_id=19115
19116,20170401,16:04,味の素スタジアム,"19,669  人",曇晴,11.4,62,ＦＣ東京,篠田　善之,サガン鳥栖,マッシモ　フィッカデンティ,GK,林　彰洋,DF,室屋　成,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,田邉　草民,MF,橋本　拳人,MF,永井　謙佑,MF,中島　翔哉,MF,阿部　拓馬,FW,大久保　嘉人,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,小野　裕二,MF,高橋　義希,MF,原川　力,MF,鎌田　大地,FW,ビクトル　イバルボ,FW,豊田　陽平,https://data.j-league.or.jp/SFMS02/?match_card_id=19116
19117,20170401,16:04,ノエビアスタジアム神戸,"18,889  人",晴,12.0,55,ヴィッセル神戸,ネルシーニョ,浦和レッズ,ペトロヴィッチ,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,松下　佳貴,MF,ニウトン,MF,藤田　直之,MF,小林　成豪,MF,大森　晃太郎,FW,田中　順也,FW,渡邉　千真,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,柏木　陽介,MF,阿部　勇樹,MF,宇賀神　友弥,MF,李　忠成,MF,武藤　雄樹,FW,興梠　慎三,https://data.j-league.or.jp/SFMS02/?match_card_id=19117
19118,20170401,19:04,ＮＡＣＫ５スタジアム大宮,"11,676  人",曇,8.3,55,大宮アルディージャ,渋谷　洋樹,鹿島アントラーズ,石井　正忠,GK,加藤　順大,DF,奥井　諒,DF,菊地　光将,DF,河本　裕之,DF,和田　拓也,MF,横谷　繁,MF,金澤　慎,MF,長谷川　アーリアジャスール,MF,江坂　任,FW,ドラガン　ムルジャ,FW,大前　元紀,GK,曽ヶ端　準,DF,西　大伍,DF,植田　直通,DF,昌子　源,DF,山本　脩斗,MF,小笠原　満男,MF,レオ　シルバ,MF,遠藤　康,MF,土居　聖真,FW,鈴木　優磨,FW,ペドロ　ジュニオール,https://data.j-league.or.jp/SFMS02/?match_card_id=19118
19119,20170402,17:04,山梨中銀スタジアム,"10,195  人",曇,13.1,42,ヴァンフォーレ甲府,吉田　達磨,北海道コンサドーレ札幌,四方田　修平,GK,岡　大生,DF,新里　亮,DF,新井　涼平,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,堀米　勇輝,MF,オリヴァー　ボザニッチ,MF,阿部　翔平,FW,ウイルソン,GK,ク　ソンユン,DF,キム　ミンテ,DF,横山　知伸,DF,福森　晃斗,MF,荒野　拓馬,MF,宮澤　裕樹,MF,深井　一希,MF,兵藤　慎剛,MF,菅　大輝,FW,都倉　賢,FW,ジュリーニョ,https://data.j-league.or.jp/SFMS02/?match_card_id=19119
19120,20170407,19:03,市立吹田サッカースタジアム,"13,521  人",雨のち曇,17.8,84,ガンバ大阪,長谷川　健太,サンフレッチェ広島,森保　一,GK,東口　順昭,DF,丹羽　大輝,DF,ファビオ,DF,三浦　弦太,DF,オ　ジェソク,DF,藤春　廣輝,MF,井手口　陽介,MF,遠藤　保仁,MF,倉田　秋,FW,長沢　駿,FW,アデミウソン,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,高橋　壮也,MF,柴﨑　晃誠,MF,野上　結貴,MF,清水　航平,MF,アンデルソン　ロペス,MF,フェリペ　シウバ,FW,工藤　壮人,https://data.j-league.or.jp/SFMS02/?match_card_id=19120
19121,20170407,19:34,埼玉スタジアム２００２,"25,372  人",晴,19.1,64,浦和レッズ,ペトロヴィッチ,ベガルタ仙台,渡邉　晋,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,柏木　陽介,MF,阿部　勇樹,MF,宇賀神　友弥,MF,李　忠成,MF,武藤　雄樹,FW,興梠　慎三,GK,関　憲太郎,DF,大岩　一貴,DF,平岡　康裕,DF,増嶋　竜也,MF,富田　晋伍,MF,三田　啓貴,MF,蜂須賀　孝治,MF,永戸　勝也,MF,藤村　慶太,MF,梁　勇基,FW,奥埜　博亮,https://data.j-league.or.jp/SFMS02/?match_card_id=19121
19122,20170408,14:04,等々力陸上競技場,"19,867  人",雨,18.7,82,川崎フロンターレ,鬼木　達,ヴァンフォーレ甲府,吉田　達磨,GK,チョン　ソンリョン,DF,登里　享平,DF,奈良　竜樹,DF,谷口　彰悟,DF,車屋　紳太郎,MF,森谷　賢太郎,MF,エドゥアルド　ネット,MF,ハイネル,MF,中村　憲剛,FW,長谷川　竜也,FW,小林　悠,GK,岡　大生,DF,新井　涼平,DF,山本　英臣,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,堀米　勇輝,MF,オリヴァー　ボザニッチ,MF,阿部　翔平,FW,ウイルソン,https://data.j-league.or.jp/SFMS02/?match_card_id=19122
19123,20170408,15:03,県立カシマサッカースタジアム,"21,078  人",雨,16.2,81,鹿島アントラーズ,石井　正忠,セレッソ大阪,尹　晶煥,GK,クォン　スンテ,DF,伊東　幸敏,DF,昌子　源,DF,植田　直通,DF,山本　脩斗,MF,永木　亮太,MF,三竿　健斗,MF,レアンドロ,MF,中村　充孝,FW,ペドロ　ジュニオール,FW,鈴木　優磨,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,木本　恭生,DF,マテイ　ヨニッチ,MF,ソウザ,MF,関口　訓充,MF,山口　蛍,MF,山村　和也,FW,柿谷　曜一朗,FW,杉本　健勇,https://data.j-league.or.jp/SFMS02/?match_card_id=19123
19124,20170408,15:03,ＮＡＣＫ５スタジアム大宮,"9,598  人",曇,16.0,78,大宮アルディージャ,渋谷　洋樹,ヴィッセル神戸,ネルシーニョ,GK,加藤　順大,DF,奥井　諒,DF,山越　康平,DF,河本　裕之,DF,和田　拓也,MF,横谷　繁,MF,金澤　慎,MF,長谷川　アーリアジャスール,MF,清水　慎太郎,FW,江坂　任,FW,大前　元紀,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,松下　佳貴,MF,ニウトン,MF,藤田　直之,MF,中坂　勇哉,MF,大森　晃太郎,FW,小林　成豪,FW,渡邉　千真,https://data.j-league.or.jp/SFMS02/?match_card_id=19124
19125,20170408,15:03,日立柏サッカー場,"9,432  人",雨時々曇,16.1,85,柏レイソル,下平　隆宏,清水エスパルス,小林　伸二,GK,中村　航輔,DF,小池　龍太,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,クリスティアーノ,MF,大谷　秀和,MF,中川　寛斗,MF,手塚　康平,MF,大津　祐樹,FW,ディエゴ　オリヴェイラ,GK,六反　勇治,DF,鎌田　翔雅,DF,犬飼　智也,DF,二見　宏志,DF,松原　后,MF,六平　光成,MF,野津田　岳人,MF,枝村　匠馬,MF,白崎　凌兵,MF,金子　翔太,FW,鄭　大世,https://data.j-league.or.jp/SFMS02/?match_card_id=19125
19126,20170408,15:04,ベストアメニティスタジアム,"8,990  人",雨のち曇,20.6,86,サガン鳥栖,マッシモ　フィッカデンティ,アルビレックス新潟,三浦　文丈,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,小野　裕二,MF,高橋　義希,MF,原川　力,MF,鎌田　大地,FW,ビクトル　イバルボ,FW,豊田　陽平,GK,大谷　幸輝,DF,矢野　貴章,DF,富澤　清太郎,DF,大野　和成,DF,原　輝綺,MF,加藤　大,MF,小泉　慶,MF,端山　豪,MF,山崎　亮平,FW,チアゴ　ガリャルド,FW,ホニ,https://data.j-league.or.jp/SFMS02/?match_card_id=19126
19127,20170408,19:03,札幌ドーム,"16,948  人",屋内,22.9,50,北海道コンサドーレ札幌,四方田　修平,ＦＣ東京,篠田　善之,GK,ク　ソンユン,DF,キム　ミンテ,DF,横山　知伸,DF,福森　晃斗,MF,早坂　良太,MF,荒野　拓馬,MF,宮澤　裕樹,MF,兵藤　慎剛,MF,田中　雄大,FW,都倉　賢,FW,ジュリーニョ,GK,林　彰洋,DF,室屋　成,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,田邉　草民,MF,橋本　拳人,MF,東　慶悟,MF,中島　翔哉,MF,阿部　拓馬,FW,大久保　嘉人,https://data.j-league.or.jp/SFMS02/?match_card_id=19127
19128,20170408,19:03,日産スタジアム,"38,803  人",曇,17.9,85,横浜Ｆ・マリノス,エリク　モンバエルツ,ジュビロ磐田,名波　浩,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,喜田　拓也,MF,天野　純,MF,マルティノス,MF,ダビド　バブンスキー,MF,齋藤　学,FW,ウーゴ　ヴィエイラ,GK,カミンスキー,DF,高橋　祥平,DF,大井　健太郎,DF,森下　俊,MF,宮崎　智彦,MF,ムサエフ,MF,川辺　駿,MF,中村　俊輔,MF,松浦　拓弥,MF,太田　吉彰,FW,川又　堅碁,https://data.j-league.or.jp/SFMS02/?match_card_id=19128
19129,20170416,13:08,札幌ドーム,"18,155  人",屋内,23.8,53,北海道コンサドーレ札幌,四方田　修平,川崎フロンターレ,鬼木　達,GK,ク　ソンユン,DF,キム　ミンテ,DF,横山　知伸,DF,福森　晃斗,MF,早坂　良太,MF,荒野　拓馬,MF,宮澤　裕樹,MF,兵藤　慎剛,MF,田中　雄大,FW,都倉　賢,FW,内村　圭宏,GK,チョン　ソンリョン,DF,田坂　祐介,DF,谷口　彰悟,DF,奈良　竜樹,DF,車屋　紳太郎,MF,エドゥアルド　ネット,MF,中村　憲剛,MF,ハイネル,MF,登里　享平,FW,長谷川　竜也,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=19129
19130,20170416,13:05,山梨中銀スタジアム,"10,472  人",晴,27.7,20,ヴァンフォーレ甲府,吉田　達磨,アルビレックス新潟,三浦　文丈,GK,岡　大生,DF,新井　涼平,DF,山本　英臣,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,堀米　勇輝,MF,オリヴァー　ボザニッチ,MF,阿部　翔平,FW,ドゥドゥ,GK,大谷　幸輝,DF,矢野　貴章,DF,富澤　清太郎,DF,ソン　ジュフン,DF,原　輝綺,MF,ロメロ　フランク,MF,小泉　慶,MF,加藤　大,MF,山崎　亮平,FW,チアゴ　ガリャルド,FW,ホニ,https://data.j-league.or.jp/SFMS02/?match_card_id=19130
