ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
MF,森﨑　和幸,森保　一,2013/09/14,28.3,70%,山本　雄大,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",サンフレッチェ広島
MF,清水　航平,森保　一,2013/09/14,28.3,70%,山本　雄大,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",サンフレッチェ広島
MF,森﨑　浩司,森保　一,2013/09/14,28.3,70%,山本　雄大,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",サンフレッチェ広島
MF,原田　拓,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
MF,武富　孝介,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
FW,深井　正樹,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
FW,荒田　智之,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
GK,中林　洋次,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
DF,後藤　圭太,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
DF,竹田　忠嗣,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
GK,土肥　洋一,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
DF,森　勇介,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
DF,土屋　征夫,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
DF,高橋　祥平,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
DF,和田　拓也,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
MF,西　紀寛,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
MF,中後　雅喜,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
MF,梶川　諒太,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
MF,飯尾　一慶,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
FW,阿部　拓馬,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
FW,アレックス,高橋　真一郎,2012/09/30,24.4,71%,吉田　寿光,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",東京ヴェルディ
GK,岡本　昌弘,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
DF,高橋　峻希,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
DF,大岩　一貴,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
DF,竹内　彬,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
DF,武田　英二郎,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
MF,佐藤　勇人,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
MF,佐藤　健太郎,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
MF,兵働　昭弘,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
MF,谷澤　達也,木山　隆之,2012/09/30,20.9,78%,井上　知大,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ジェフユナイテッド千葉
FW,上條　宏晃,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
FW,金　民均,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
FW,北嶋　秀朗,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
FW,齊藤　和樹,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
DF,植田　龍仁朗,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
MF,田中　奏一,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
MF,千明　聖典,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
MF,仙石　廉,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
MF,田所　諒,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
FW,川又　堅碁,影山　雅永,2012/09/30,20.8,88%,日高　晴樹,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ファジアーノ岡山
GK,南　雄太,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
DF,藏川　洋平,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
DF,矢野　大輔,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
DF,廣井　友信,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
DF,片山　奨典,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
MF,藤本　主税,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
MF,養父　雄仁,高木　琢也,2012/10/01,25.0,67%,佐藤　隆治,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第２日",ロアッソ熊本
GK,本間　幸司,柱谷　哲二,2014/08/03,26.6,92%,吉田　寿光,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",水戸ホーリーホック
DF,新里　亮,柱谷　哲二,2014/08/03,26.6,92%,吉田　寿光,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",水戸ホーリーホック
